Country (current borders);NUTS-Codes;Region;GDP_1900;GDP_1910;GDP_1925;GDP_1938;GDP_1950;GDP_1960;GDP_1970;GDP_1980;GDP_1990;GDP_2000;GDP_2010;GDP_2015;GDP_11_1900;GDP_11_1910;GDP_11_1925;GDP_11_1938;GDP_11_1950;GDP_11_1960;GDP_11_1970;GDP_11_1980;GDP_11_1990;GDP_11_2000;GDP_11_2010;GDP_11_2015;AREA;POP_1900;POP_1910;POP_1925;POP_1938;POP_1950;POP_1960;POP_1970;POP_1980;POP_1990;POP_2000;POP_2010;POP_2015;AGSH_1900;AGSH_1910;AGSH_1925;AGSH_1938;AGSH_1950;AGSH_1960;AGSH_1970;AGSH_1980;AGSH_1990;AGSH_2000;AGSH_2010;AGSH_2015;INDSH_1900;INDSH_1910;INDSH_1925;INDSH_1938;INDSH_1950;INDSH_1960;INDSH_1970;INDSH_1980;INDSH_1990;INDSH_2000;INDSH_2010;INDSH_2015;SERSH_1900;SERSH_1910;SERSH_1925;SERSH_1938;SERSH_1950;SERSH_1960;SERSH_1970;SERSH_1980;SERSH_1990;SERSH_2000;SERSH_2010;SERSH_2015
Belgium;BE25;West-Flanders;2023;2466;3273;3963;4193;5831;9692;14663;17786;21853;25667;27075;3244;4193;4070;4621;5368;7665;14382;22334;24518;35346;42048;46389;3144;807;874;895;962;1012;1064;1054;1078;1106;1129;1162;1178;0,419;0,354;0,261;0,213;0,169;0,12;0,076;0,061;0,048;0,04;0,028;0,024;0,267;0,362;0,374;0,388;0,45;0,479;0,497;0,444;0,321;0,299;0,26;0,242;0,315;0,284;0,366;0,399;0,381;0,401;0,427;0,495;0,631;0,66;0,713;0,734
Belgium;BE23;East-Flanders;3214;3785;4427;4891;5634;6990;11420;15197;19895;24427;30543;32207;5152;6435;5505;5702;7212;9187;16946;23146;27424;39510;50037;55182;2982;1035;1120;1142;1192;1229;1268;1310;1330;1337;1362;1439;1476;0,361;0,293;0,242;0,208;0,155;0,111;0,065;0,051;0,032;0,027;0,018;0,014;0,364;0,449;0,441;0,424;0,487;0,511;0,521;0,404;0,312;0,281;0,237;0,222;0,275;0,258;0,317;0,368;0,358;0,378;0,414;0,546;0,656;0,693;0,745;0,763
Belgium;BE32;Hainaut;5158;5911;5780;5735;6300;7368;11115;14576;15705;17558;20020;20367;8268;10051;7188;6687;8066;9684;16494;22201;21649;28400;32798;34896;3786;1137;1233;1261;1244;1230;1247;1317;1302;1283;1281;1314;1335;0,178;0,142;0,108;0,1;0,084;0,068;0,042;0,035;0,025;0,02;0,014;0,013;0,571;0,618;0,589;0,543;0,581;0,548;0,499;0,368;0,259;0,17;0,207;0,187;0,25;0,24;0,303;0,357;0,335;0,383;0,459;0,596;0,715;0,81;0,779;0,8
Belgium;BE33;Liege;3648;4320;4877;5069;5773;7376;10643;14038;14249;15843;18737;18695;5847;7345;6065;5910;7391;9695;15793;21381;19641;25625;30695;32031;3862;837;888;951;971;972;1001;1009;1000;1003;1020;1072;1096;0,157;0,117;0,113;0,113;0,092;0,07;0,046;0,034;0,023;0,018;0,012;0,011;0,559;0,606;0,549;0,501;0,543;0,531;0,462;0,367;0,262;0,231;0,207;0,196;0,285;0,277;0,338;0,386;0,364;0,399;0,493;0,599;0,715;0,751;0,781;0,793
Belgium;BE22;Limburg;602;723;979;1269;1805;2613;5088;8268;10984;13773;16170;17007;965;1229;1218;1480;2311;3434;7551;12593;15140;22278;26490;29139;2422;245;276;342;408;483;566;653;712;749;792;842;859;0,544;0,489;0,405;0,33;0,204;0,119;0,052;0,035;0,038;0,032;0,022;0,021;0,195;0,265;0,321;0,353;0,473;0,495;0,551;0,468;0,343;0,317;0,251;0,23;0,261;0,246;0,274;0,317;0,323;0,386;0,397;0,497;0,619;0,652;0,727;0,749
Belgium;BE34;Luxembourg (region);797;829;685;656;861;1028;1445;2202;3029;3623;4363;4200;1278;1409;852;765;1102;1351;2144;3354;4175;5860;7148;7196;4440;220;231;223;222;214;217;217;222;233;248;270;280;0,542;0,461;0,437;0,406;0,358;0,281;0,174;0,12;0,078;0,06;0,042;0,039;0,206;0,262;0,206;0,198;0,226;0,267;0,292;0,216;0,199;0,204;0,198;0,187;0,252;0,278;0,357;0,396;0,417;0,452;0,534;0,664;0,723;0,736;0,76;0,774
Belgium;BE35;Namur;1446;1562;1391;1388;1680;2128;3091;4461;5389;6390;7957;7919;2318;2656;1730;1618;2151;2797;4586;6794;7429;10336;13035;13568;3666;351;363;358;356;359;368;381;405;423;445;475;488;0,319;0,237;0,206;0,19;0,169;0,132;0,08;0,057;0,04;0,032;0,021;0,02;0,39;0,465;0,401;0,369;0,396;0,396;0,389;0,274;0,184;0,173;0,154;0,146;0,291;0,297;0,393;0,442;0,435;0,472;0,531;0,669;0,776;0,795;0,825;0,834
Denmark;DK01;Hovedstaden;2234;2766;4395;7115;13079;14122;25669;28127;34466;46083;50882;57807;3330;4262;5895;9440;17704;19334;37384;39690;47327;72600;91913;104594;2473;660;770;1011;1203;1397;1552;1645;1591;1548;1628;1691;1775;0,126;0,113;0,102;0,07;0,038;0,039;0,02;0,006;0,01;0,009;0,004;0,004;0,419;0,419;0,442;0,477;0,446;0,452;0,373;0,241;0,201;0,161;0,07;0,109;0,455;0,468;0,456;0,452;0,516;0,509;0,607;0,753;0,789;0,831;0,926;0,887
Denmark;DK02;Sjælland;1377;1821;2454;3034;3427;5158;7594;10488;10969;13545;14042;14315;2052;2807;3292;4026;4638;7061;11060;14799;15062;21339;25365;25902;7114;446;485;554;553;587;601;659;740;768;797;819;824;0,56;0,52;0,498;0,442;0,438;0,306;0,139;0,026;0,056;0,041;0,034;0,031;0,238;0,241;0,261;0,315;0,257;0,36;0,404;0,309;0,26;0,24;0,106;0,17;0,202;0,239;0,241;0,244;0,303;0,333;0,457;0,665;0,684;0,72;0,86;0,799
Denmark;DK03;Southern Denmark;1253;2039;3378;4994;5518;8955;13130;17552;19853;24926;25818;27685;1868;3142;4531;6626;7470;12260;19123;24768;27261;39269;46638;50093;12100;733;854;847;959;972;1033;1172;1241;1153;1178;1200;1210;0,507;0,493;0,445;0,392;0,391;0,281;0,155;0,029;0,078;0,057;0,041;0,037;0,267;0,26;0,288;0,341;0,289;0,382;0,416;0,353;0,309;0,284;0,153;0,213;0,226;0,247;0,268;0,267;0,32;0,337;0,429;0,618;0,613;0,659;0,806;0,749
