STAT_LEVL_CODE;NUTS_ID;NUTS_NAME;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
2;AT13;Wien;12007,27229;13080,2755;14951,43197;16811,95777;17913,71588;19073,9243;20559,97921;21698,26092;22884,75919;24338,29407;25668,211;26365,72705;27336,3568;28170,63973;28149,81702;31927,22979;32513,94493;32628,73451;33582,16353;34970,8515;35918,11736;36143,47493;37568,492;37466,54777;38465,40746;39658,36535;41268,79703;42180,55303;42378,0729;40917,93408;41963,3005;42969,31706;44263,88497;43872,31752;44092,24845;45464,81184;45630,42811;45417,27674;46766,38803;47472,41643;48462,68838;49270,57824
3;AT130;Wien;12007,27229;13080,2755;14951,43197;16811,95777;17913,71588;19073,9243;20559,97921;21698,26092;22884,75919;24338,29407;25668,211;26365,72705;27336,3568;28170,63973;28149,81702;31927,22979;32513,94493;32628,73451;33582,16353;34970,8515;35918,11736;36143,47493;37568,492;37466,54777;38465,40746;39658,36535;41268,79703;42180,55303;42378,0729;40917,93408;41963,3005;42969,31706;44263,88497;43872,31752;44092,24845;45464,81184;45630,42811;45417,27674;46766,38803;47472,41643;48462,68838;49270,57824
1;AT2;Südösterreich;7147,43084;7932,12826;8603,720931;9133,840722;9736,086757;10477,59138;10893,02269;11009,45349;12022,33675;13520,82359;14877,26864;16153,47991;16883,07055;16767,14164;17777,50506;16259,63197;17374,66378;18390,17342;19473,03842;20420,22698;21857,044;21910,82061;22621,00412;23225,33061;24630,74291;25777,08599;26923,31153;28446,4225;28468,3999;26957,83483;27882,94553;29299,59352;30853,21234;30807,35557;31725,28394;32839,67317;33019,27858;33895,1749;35139,40524;36440,0862;37616,74368;38897,81315
2;AT21;Kärnten;7300,02875;8136,329929;8905,983273;9369,283101;10090,58186;10572,29029;11108,07929;11217,08205;12145,45074;13772,25384;15025,53547;16617,26849;17040,56629;16916,54559;17788,55671;16110,82758;17178,19171;18134,21778;19058,65756;20055,77808;21296,90231;21106,68734;22065,99954;22658,24318;23866,44685;25049,21542;26150,04231;27714,02332;27656,15881;26018,00331;26971,99926;28563,07142;29633,92495;29628,56912;30457,98156;31437,8151;31483,06975;32587,61558;33777,18018;35206,21336;36399,91395;37779,41802
3;AT211;Klagenfurt-Villach;9347,492682;10352,66516;11234,84738;11795,34895;12678,25641;13261,39186;13904,70633;14009,35736;15133,94452;17117,53287;18620,26138;20663,99796;21129,1296;20888,52805;21908,89335;19973,7156;21200,01117;22166,22574;23501,61054;24709,1372;26082,72574;25861,772;26804,91433;27253,53828;28834,2371;30423,50778;31237,90936;33083,10348;32970,50748;30853,29846;32343,4776;34140,72239;34979,40644;34617,37118;35405,19509;36383,23252;36247,32404;37350,73329;38530,28936;39979,87783;41146,33622;42515,85104
3;AT212;Oberkärnten;6002,960513;6717,143559;7321,504104;7694,156263;8280,281358;8663,21451;9088,623872;9174,048278;9925,327801;11248,7268;12262,10173;13596,4128;13939,36556;13848,51608;14570,75457;13061,24189;13878,55052;14823,78479;15089,23426;16161,93106;17361,39279;17147,45999;17632,93825;18123,82459;18888,58013;19539,22883;21136,31209;22166,92796;22049,81401;21516,77411;21139,25715;22429,39939;23384,14917;23761,79227;24148,3026;24309,93976;24629,23176;25622,28732;26794,94731;28099,63887;29274,68143;30579,03735
3;AT213;Unterkärnten;5119,174669;5749,462161;6408,425578;6776,567369;7333,309823;7720,309391;8157,896767;8280,201968;9015,55215;10281,22504;11292,54313;12405,44802;12799,97862;12802,81302;13530,67952;12127,84759;13123,34213;14056,90178;14817,93119;15379,59845;16413,3904;16350,54641;17691,69533;18578,43013;19487,28446;20359,28775;21471,83247;22931,0519;22948,70347;21170,1013;22215,11183;23620,70473;25119,93705;25363,95536;26552,34702;28136,3091;28220,98847;29336,89057;30484,78614;31895,86501;33079,64816;34459,99892
2;AT22;Steiermark;7078,628041;7840,034808;8467,136002;9026,783161;9574,32476;10434,26253;10794,32578;10913,78951;11965,40846;13404,10449;14808,16055;15939,44317;16809,12796;16696,79191;17772,29177;16329,9816;17467,67024;18511,31823;19669,1862;20592,7655;22122,54489;22291,36344;22882,56525;23491,69347;24988,49178;26117,02024;27283,44834;28787,13395;28846,08813;27394,25792;28304,76167;29639,41691;31414,11165;31348,06431;32304,95105;33479,61545;33718,14981;34488,11219;35755,48401;36996,46506;38163,88742;39399,23103
3;AT221;Graz;10096,23451;11153,03239;12024,26975;12884,67748;13701,14268;14961,56442;15499,7418;15688,50587;17216,47192;19293,7524;21299,08545;22889,84847;24228,90869;24003,11019;25529,84514;23621,20513;25487,77959;26820,96348;28053,80899;29453,20527;31792,40619;32156,18658;32665,7921;33754,32081;35684,33448;37113,35244;38104,45185;39290,25148;39290,35965;37430,18645;37741,27359;39520,64728;41734,34232;41276,32407;42056,70507;43400,75609;43371,18006;43949,51957;45282,47406;46474,49238;47617,26759;48788,94903
3;AT222;Liezen;7137,814813;7926,620582;8408,316807;8909,389175;9387,47763;10182,07726;10465,3522;10518,67453;11469,60809;12768,58555;14037,02549;15173,66734;15926,18929;15724,60287;16664,89848;14988,14229;16085,35576;16942,89663;17754,74422;18473,64529;19656,63441;19412,26334;20454,10122;20801,5153;22688,44992;23601,19406;24688,26993;25919,07593;26723,13814;25671,13785;26345,53267;27084,57998;29404,71127;30014,54394;31014,64129;32142,29812;33486,30658;34332,75987;36252,63643;37765,67023;39462,9313;41062,95348
