"","nuts_2","nuts_1","country","trade_center","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","altitude","dist_border","dist_coast","east_germany","bishop","mining","eqi100","residence","trade_year"
"17","BE35","BRU","Belgium",0,0,31.5,73.6669998168945,50.2297922770182,4.80121262868246,0,1,0,0,0,0,0,199.233337402344,0.175289615988732,0.945948680241904,0,0,0,60.8899993896484,0,0
"18","DE11","DE1","Germany",0,0,30.3,31.7900009155273,48.9588317871094,9.51223388084998,1,0,0,0,1,0,1,364.323071993314,1.14582917323479,4.26190319428077,0,0,0,83.9400024414062,1,0
"19","DE12","DE1","Germany",0,0,29.3,31.7900009155273,49.025595664978,8.58567015329997,1,1,1,0,1,0,0,297.016665776571,0.480963324972739,4.22056625286738,0,0,0,83.9400024414062,0,0
"20","DE13","DE1","Germany",1,0,27.2,31.7900009155273,47.9928050994873,8.2306670665741,1,1,0,0,1,0,1,571.440005493164,0.225971750915051,3.62353055477142,0,1,0,83.9400024414062,1,6
"21","DE14","DE1","Germany",1,0,29.3,31.7900009155273,48.1818656921387,9.46944257948134,1,1,1,0,1,0,1,620.711113823785,0.545642007556227,3.7713606622484,0,0,0,83.9400024414062,1,13
"22","DE21","DE2","Germany",0,0,33.4,31.7900009155273,48.1391304679539,11.6961159913436,1,1,1,0,1,0,0,548.565217391304,0.532675475610987,2.79858207702637,0,1,0,78.0899963378906,1,0
"23","DE22","DE2","Germany",0,0,21.6,31.7900009155273,48.7065846125285,12.7744170824687,1,1,0,0,1,0,0,425.408335367839,0.403768515214324,3.03084087371826,0,1,0,78.0899963378906,0,0
"24","DE23","DE2","Germany",1,0,21.7,31.7900009155273,49.4028690338135,12.0908705711365,0,1,0,0,1,0,1,421.850003051758,0.494920188188552,3.83177170753479,0,1,0,78.0899963378906,1,13
"25","DE24","DE2","Germany",0,0,25.2,31.7900009155273,50.0784058204064,11.3724228785588,1,1,0,0,1,0,0,439.830770639273,0.765744474071722,3.74931546357962,0,1,0,78.0899963378906,1,0
"26","DE25","DE2","Germany",1,0,26.7,31.7900009155273,49.3977632522583,10.8913815021515,0,0,0,0,1,0,1,356.066668192546,1.43662457664808,4.12320846319199,0,0,0,78.0899963378906,1,13
"27","DE26","DE2","Germany",0,0,26.1,31.7900009155273,49.9710048039754,9.90336219469707,0,0,0,0,1,0,1,249.433334350586,1.72111839056015,3.57535382111867,0,1,0,78.0899963378906,0,0
"28","DE27","DE2","Germany",1,0,24,31.7900009155273,48.1286634717669,10.4726956912449,1,1,0,0,1,0,1,584.114288330078,0.586558607806053,3.3386709690094,0,1,0,78.0899963378906,1,13
"29","DE30","DE3","Germany",1,1,35.4,31.7900009155273,52.5068702697754,13.4244012832642,0,0,0,0,0,1,0,37.2000007629395,0.774605810642242,1.57808065414429,0,0,0,83.9400024414062,0,6
"30","DE40","DE4","Germany",1,0,30.9222222222222,31.7900009155273,52.389845530192,13.4539355172051,0,1,1,0,0,1,0,62.7944451438056,0.793112312753995,1.66130958331956,1,1,1,83.8899993896484,1,10
"31","DE50","DE5","Germany",1,0,23.8,31.7900009155273,53.3329734802246,8.66088676452636,0,0,0,1,0,1,0,4.19999990612269,0.220292617566884,0.219224324449897,0,1,0,83.3300018310547,0,10
"32","DE60","DE6","Germany",1,0,29.5,31.7900009155273,53.5667304992676,10.0301208496094,0,0,0,0,1,1,1,8.30000019073486,0.751542270183563,0.198687940835953,0,1,0,83.5100021362305,0,8
"33","DE71+DE72","DE7","Germany",1,0,28.0526315789474,31.7900009155273,50.1814482839484,8.66671968761243,1,0,0,0,1,1,1,226.078948171515,1.3140516500724,3.25649089562266,0,0,0,76.3099975585938,0,13
